epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8281,1.47394,2.89077,1.47214,0.86121,0.8717,0.92461,0.54021,1.39306,0.99547,1.5337,0.000150642,0.000150642,0.000150642
2,112.757,1.42869,1.22015,1.43109,0.85486,0.88162,0.9087,0.52615,1.44404,0.8704,1.57797,0.00029732,0.00029732,0.00029732
3,165.584,1.46786,1.07642,1.48229,0.88934,0.91533,0.93921,0.54083,1.47996,0.77408,1.65364,0.000438994,0.000438994,0.000438994
4,217.363,1.43148,0.93199,1.45159,0.91805,0.92967,0.94646,0.55151,1.43045,0.75733,1.58758,0.000432478,0.000432478,0.000432478
5,269.527,1.415,0.88962,1.42755,0.91566,0.91011,0.9502,0.54867,1.45856,0.74644,1.61299,0.00042497,0.00042497,0.00042497
6,321.76,1.41944,0.82149,1.44784,0.94514,0.93141,0.96329,0.57404,1.39992,0.66724,1.56478,0.000417463,0.000417463,0.000417463
7,373.834,1.385,0.79321,1.41739,0.91383,0.87164,0.93873,0.55043,1.44236,0.91506,1.59139,0.000409955,0.000409955,0.000409955
8,425.781,1.38409,0.773,1.44084,0.92524,0.95351,0.9622,0.57066,1.42532,0.63453,1.57232,0.000402447,0.000402447,0.000402447
9,477.376,1.36991,0.75671,1.41977,0.94518,0.94782,0.96407,0.57518,1.41169,0.60007,1.58845,0.00039494,0.00039494,0.00039494
10,528.712,1.37501,0.73792,1.41623,0.92467,0.92948,0.95998,0.57315,1.41769,0.61824,1.54972,0.000387433,0.000387433,0.000387433
11,579.95,1.37833,0.70422,1.42093,0.93287,0.95428,0.96611,0.59172,1.40304,0.57296,1.53801,0.000379925,0.000379925,0.000379925
12,631.053,1.36256,0.69653,1.39893,0.93731,0.95165,0.95499,0.57217,1.40296,0.57604,1.56737,0.000372418,0.000372418,0.000372418
13,682.815,1.37253,0.69837,1.4164,0.94043,0.94804,0.96838,0.58121,1.40865,0.56468,1.56583,0.00036491,0.00036491,0.00036491
14,734.124,1.34761,0.67902,1.40457,0.94052,0.95934,0.96676,0.59095,1.39282,0.54476,1.56375,0.000357402,0.000357402,0.000357402
15,785.254,1.33959,0.66556,1.39833,0.93469,0.95444,0.96346,0.58792,1.38212,0.54128,1.53249,0.000349895,0.000349895,0.000349895
16,836.151,1.35096,0.66308,1.4036,0.95199,0.96251,0.96978,0.59738,1.38567,0.56344,1.53549,0.000342387,0.000342387,0.000342387
17,887.093,1.32519,0.64486,1.39865,0.95816,0.94848,0.97219,0.58817,1.40479,0.52239,1.55174,0.00033488,0.00033488,0.00033488
18,938.59,1.33918,0.65124,1.40107,0.95674,0.9702,0.9693,0.59134,1.39746,0.53727,1.54869,0.000327372,0.000327372,0.000327372
19,989.989,1.33072,0.63648,1.38422,0.94948,0.94874,0.97011,0.59686,1.39022,0.53322,1.54505,0.000319865,0.000319865,0.000319865
20,1041.43,1.32818,0.63122,1.39435,0.96185,0.94804,0.97292,0.59621,1.39346,0.5203,1.56834,0.000312357,0.000312357,0.000312357
21,1092.56,1.3143,0.62943,1.37404,0.9387,0.97028,0.97271,0.59501,1.40604,0.52034,1.56641,0.00030485,0.00030485,0.00030485
22,1143.58,1.29173,0.60862,1.36168,0.94999,0.95541,0.97357,0.59642,1.39139,0.51715,1.52923,0.000297342,0.000297342,0.000297342
23,1194.73,1.31972,0.62806,1.37731,0.94756,0.96312,0.97191,0.60719,1.40043,0.52648,1.55306,0.000289835,0.000289835,0.000289835
24,1245.93,1.30555,0.59765,1.37977,0.95076,0.96594,0.96864,0.60566,1.38336,0.5069,1.55739,0.000282328,0.000282328,0.000282328
25,1296.91,1.32326,0.60929,1.38496,0.96493,0.95644,0.97421,0.60776,1.38168,0.50428,1.54857,0.00027482,0.00027482,0.00027482
26,1348.07,1.2949,0.5959,1.37178,0.94761,0.95688,0.96987,0.60692,1.37277,0.50199,1.53512,0.000267312,0.000267312,0.000267312
27,1399.37,1.30447,0.59882,1.37531,0.95448,0.95937,0.9704,0.60285,1.39123,0.50397,1.53617,0.000259805,0.000259805,0.000259805
28,1450.2,1.27632,0.58434,1.35565,0.94487,0.97099,0.96397,0.60749,1.37337,0.48618,1.55129,0.000252298,0.000252298,0.000252298
29,1501.56,1.29267,0.58743,1.35593,0.95975,0.96047,0.9729,0.61214,1.37704,0.49073,1.53899,0.00024479,0.00024479,0.00024479
30,1552.69,1.27623,0.57112,1.34563,0.95614,0.96445,0.9693,0.60804,1.38369,0.49747,1.54466,0.000237282,0.000237282,0.000237282
31,1603.86,1.25951,0.56606,1.33456,0.95481,0.96603,0.97266,0.61202,1.38027,0.48733,1.53988,0.000229775,0.000229775,0.000229775
32,1655.03,1.28546,0.57208,1.36575,0.95775,0.95921,0.96954,0.60339,1.42364,0.50172,1.55742,0.000222267,0.000222267,0.000222267
